b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,0,2910882,0.69400835037231445,0.526975073,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,1,1058078,0.25226545333862305,1.986985446,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,2,376972,0.08987712860107422,3.475902156,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,3,134776,0.03213310241699219,4.959795912,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,4,48743,0.01162123680114746,6.427092573,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,5,17648,0.00420761108398438,7.892782924,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,6,6466,0.00154161453247070,9.341342208,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,7,2410,0.00057458877563477,10.765182569,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,8,883,0.00021052360534668,12.213730372,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,9,324,0.00007724761962891,13.660149997,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,10,126,0.00003004074096680,15.022720077,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,11,65,0.00001549720764160,15.977632187,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,12,28,0.00000667572021484,17.192645078,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,13,9,0.00000214576721191,18.830074999,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,14,3,0.00000071525573730,20.415037499,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,15,0,0.00000000000000000,inf,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,0,4194304,1.00000000000000000,-0.000000000,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,1,2910881,0.69400811195373535,0.526975569,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,2,1058078,0.25226545333862305,1.986985446,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,3,376972,0.08987712860107422,3.475902156,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,4,134776,0.03213310241699219,4.959795912,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,5,48743,0.01162123680114746,6.427092573,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,6,17648,0.00420761108398438,7.892782924,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,7,6466,0.00154161453247070,9.341342208,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,8,2410,0.00057458877563477,10.765182569,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,9,883,0.00021052360534668,12.213730372,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,10,324,0.00007724761962891,13.660149997,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,11,126,0.00003004074096680,15.022720077,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,12,65,0.00001549720764160,15.977632187,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,13,28,0.00000667572021484,17.192645078,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,14,9,0.00000214576721191,18.830074999,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,15,3,0.00000071525573730,20.415037499,fixed,1
2,4,2,1048576,4194304,4194304,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,16,0,0.00000000000000000,inf,fixed,1
