b,z,n,warmup,operations,seed,workload,metric,threshold,exceed_count,probability,log2_inverse
2,3,4096,4194304,16777216,7,bit-reverse,post,0,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,1,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,2,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,3,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,4,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,5,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,6,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,7,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,8,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,9,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,10,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,11,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,12,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,13,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,14,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,15,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,16,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,17,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,18,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,19,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,20,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,21,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,22,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,23,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,24,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,25,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,26,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,27,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,28,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,29,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,30,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,31,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,32,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,33,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,34,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,35,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,36,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,37,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,38,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,39,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,40,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,41,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,42,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,43,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,44,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,45,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,46,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,47,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,48,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,49,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,50,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,51,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,52,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,53,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,54,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,55,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,56,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,57,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,58,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,59,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,60,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,61,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,62,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,63,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,64,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,65,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,66,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,67,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,68,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,69,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,70,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,71,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,72,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,73,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,74,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,75,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,76,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,77,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,78,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,79,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,80,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,81,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,82,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,83,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,84,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,85,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,86,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,87,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,88,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,89,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,90,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,91,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,92,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,93,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,94,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,95,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,96,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,97,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,98,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,99,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,100,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,101,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,102,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,103,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,104,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,105,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,106,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,107,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,108,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,109,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,110,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,111,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,112,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,113,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,114,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,115,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,116,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,117,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,118,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,119,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,120,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,121,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,122,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,123,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,124,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,125,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,126,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,127,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,128,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,129,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,130,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,131,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,132,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,133,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,134,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,135,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,136,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,137,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,138,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,139,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,140,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,141,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,142,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,143,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,144,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,145,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,146,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,147,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,148,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,149,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,bit-reverse,post,150,16777216,1.00000000000000000,-0.000000000
