b,z,n,warmup,operations,seed,workload,metric,threshold,exceed_count,probability,log2_inverse
2,3,4096,4194304,16777216,7,hot16,post,0,2961245,0.17650395631790161,2.502227573
2,3,4096,4194304,16777216,7,hot16,post,1,1282124,0.07642054557800293,3.709895632
2,3,4096,4194304,16777216,7,hot16,post,2,518847,0.03092569112777710,5.015050353
2,3,4096,4194304,16777216,7,hot16,post,3,193972,0.01156163215637207,6.434511112
2,3,4096,4194304,16777216,7,hot16,post,4,66690,0.00397503376007080,7.974817171
2,3,4096,4194304,16777216,7,hot16,post,5,20878,0.00124442577362061,9.650304104
2,3,4096,4194304,16777216,7,hot16,post,6,6061,0.00036126375198364,11.434659873
2,3,4096,4194304,16777216,7,hot16,post,7,1536,0.00009155273437500,13.415037499
2,3,4096,4194304,16777216,7,hot16,post,8,336,0.00002002716064453,15.607682577
2,3,4096,4194304,16777216,7,hot16,post,9,70,0.00000417232513428,17.870716983
2,3,4096,4194304,16777216,7,hot16,post,10,5,0.00000029802322388,21.678071905
2,3,4096,4194304,16777216,7,hot16,post,11,0,0.00000000000000000,inf
2,3,4096,4194304,16777216,7,hot16,insertion,0,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,hot16,insertion,1,2856466,0.17025864124298096,2.554200073
2,3,4096,4194304,16777216,7,hot16,insertion,2,1187041,0.07075315713882446,3.821061665
2,3,4096,4194304,16777216,7,hot16,insertion,3,457745,0.02728372812271118,5.195815398
2,3,4096,4194304,16777216,7,hot16,insertion,4,162366,0.00967776775360107,6.691109967
2,3,4096,4194304,16777216,7,hot16,insertion,5,52450,0.00312626361846924,8.321344848
2,3,4096,4194304,16777216,7,hot16,insertion,6,15398,0.00091779232025146,10.089544645
2,3,4096,4194304,16777216,7,hot16,insertion,7,4070,0.00024259090423584,12.009186921
2,3,4096,4194304,16777216,7,hot16,insertion,8,948,0.00005650520324707,14.111256751
2,3,4096,4194304,16777216,7,hot16,insertion,9,197,0.00001174211502075,16.377948181
2,3,4096,4194304,16777216,7,hot16,insertion,10,25,0.00000149011611938,19.356143810
2,3,4096,4194304,16777216,7,hot16,insertion,11,1,0.00000005960464478,24.000000000
2,3,4096,4194304,16777216,7,hot16,insertion,12,0,0.00000000000000000,inf
