b,z,n,warmup,operations,seed,workload,metric,threshold,exceed_count,probability,log2_inverse
2,3,4096,4194304,16777216,7,uniform,post,0,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,1,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,2,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,3,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,4,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,5,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,6,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,7,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,8,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,9,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,10,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,11,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,12,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,13,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,14,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,15,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,16,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,17,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,18,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,19,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,20,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,21,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,22,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,23,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,24,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,25,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,26,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,27,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,28,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,29,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,30,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,31,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,32,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,33,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,34,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,35,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,36,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,37,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,38,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,39,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,40,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,41,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,42,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,43,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,44,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,45,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,46,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,47,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,48,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,49,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,50,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,51,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,52,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,53,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,54,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,55,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,56,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,57,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,58,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,59,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,60,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,61,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,62,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,63,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,64,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,65,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,66,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,67,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,68,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,69,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,70,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,71,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,72,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,73,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,74,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,75,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,76,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,77,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,78,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,79,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,80,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,81,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,82,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,83,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,84,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,85,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,86,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,87,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,88,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,89,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,90,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,91,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,92,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,93,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,94,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,95,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,96,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,97,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,98,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,99,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,100,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,101,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,102,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,103,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,104,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,105,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,106,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,107,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,108,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,109,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,110,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,111,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,112,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,113,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,114,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,115,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,116,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,117,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,118,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,119,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,120,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,121,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,122,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,123,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,124,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,125,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,126,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,127,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,128,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,129,16777216,1.00000000000000000,-0.000000000
2,3,4096,4194304,16777216,7,uniform,post,130,16777216,1.00000000000000000,-0.000000000
