b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,samples,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,0,6499436,0.19369828701019287,2.368116900,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,1,361131,0.01076254248619080,6.537837257,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,2,97836,0.00291574001312256,8.421922200,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,3,31685,0.00094428658485413,10.048487605,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,4,11366,0.00033873319625854,11.527563000,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,5,4307,0.00012835860252380,12.927532392,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,6,1748,0.00005209445953369,14.228510530,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,7,655,0.00001952052116394,15.644648904,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,8,212,0.00000631809234619,17.272079545,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,9,65,0.00000193715095520,18.977632187,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,10,9,0.00000026822090149,21.830074999,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,11,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,0,33554432,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,1,6499435,0.19369825720787048,2.368117121,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,2,361131,0.01076254248619080,6.537837257,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,3,97836,0.00291574001312256,8.421922200,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,4,31685,0.00094428658485413,10.048487605,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,5,11366,0.00033873319625854,11.527563000,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,6,4307,0.00012835860252380,12.927532392,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,7,1748,0.00005209445953369,14.228510530,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,8,655,0.00001952052116394,15.644648904,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,9,212,0.00000631809234619,17.272079545,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,10,65,0.00000193715095520,18.977632187,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,11,9,0.00000026822090149,21.830074999,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,12,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,0,20252410,0.60356885194778442,0.728409739,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,1,2075060,0.06184160709381104,4.015278378,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,2,206920,0.00616669654846191,7.341286429,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,3,60658,0.00180774927139282,9.111589690,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,4,20489,0.00061061978340149,10.677438048,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,5,7541,0.00022473931312561,12.119459866,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,6,2895,0.00008627772331238,13.500652367,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,7,1173,0.00003495812416077,14.804012702,fixed,1,access-plus-rate-deterministic,3,2
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,8,424,0.00001263618469238,16.272079545,fixed,1,access-plus-rate-deterministic,3,2
