b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,samples,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,0,84662,0.00252312421798706,8.630573050,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,1,9217,0.00027468800544739,11.829918465,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,2,1451,0.00004324316978455,14.497168196,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,3,317,0.00000944733619690,16.691660970,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,4,77,0.00000229477882385,18.733213459,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,5,21,0.00000062584877014,20.607682577,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,6,2,0.00000005960464478,24.000000000,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,post,33554432,7,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,0,33554432,1.00000000000000000,-0.000000000,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,1,84662,0.00252312421798706,8.630573050,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,2,9217,0.00027468800544739,11.829918465,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,3,1451,0.00004324316978455,14.497168196,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,4,317,0.00000944733619690,16.691660970,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,5,77,0.00000229477882385,18.733213459,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,6,21,0.00000062584877014,20.607682577,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,7,2,0.00000005960464478,24.000000000,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,insertion,33554432,8,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,0,16888176,0.50330686569213867,0.990489817,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,1,42976,0.00128078460693359,9.608756411,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,2,5097,0.00015190243721008,12.684567362,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,3,893,0.00002661347389221,15.197483635,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,4,195,0.00000581145286560,17.392669686,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,5,51,0.00000151991844177,19.327574658,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,6,13,0.00000038743019104,21.299560282,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,7,1,0.00000002980232239,25.000000000,fixed,1,access-plus-rate-deterministic,2,1
2,1,2,524288,16777216,33554432,cycle,2,random,os-getrandom,random-old-and-new-paths,pre_batch,33554432,8,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,2,1
